date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:34:09	115486/115486	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Jul%202020%2006:34:09%20GMT	https://www.megabox.co.kr/vipcoupon/guide	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/vipcoupon/guide.html	(from https://www.megabox.co.kr/benefit/viplounge)
15:34:09	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:09%20GMT	https://www.megabox.co.kr/on/oh/ohg/MbLogin/mbLogout.do	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/on/oh/ohg/MbLogin/mbLogout.do	(from https://www.megabox.co.kr/benefit/membership)
15:34:09	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:10%20GMT	https://www.megabox.co.kr/mypage	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage	(from https://www.megabox.co.kr/benefit/membership)
15:34:09	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:10%20GMT	https://www.megabox.co.kr/mypage/point-list	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage/point-list	(from https://www.megabox.co.kr/benefit/membership)
15:34:09	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:10%20GMT	https://www.megabox.co.kr/mypage/discount-coupon	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage/discount-coupon	(from https://www.megabox.co.kr/benefit/membership)
15:34:10	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:10%20GMT	https://www.megabox.co.kr/mypage/movie-coupon	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage/movie-coupon	(from https://www.megabox.co.kr/benefit/membership)
15:34:10	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:10%20GMT	https://www.megabox.co.kr/mypage/bookinglist	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage/bookinglist	(from https://www.megabox.co.kr/benefit/membership)
15:34:10	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:11%20GMT	https://www.megabox.co.kr/mypage/bookinglist?tab=02	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage/bookinglist9703	(from https://www.megabox.co.kr/benefit/membership)
15:34:10	7475/7475	---M--	200	added ('OK')	image/png	etag:%220-1d33-5f0291cb%22	https://www.megabox.co.kr/static/pc/images/benefit/img-card-mobile.png	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/static/pc/images/benefit/img-card-mobile.png	(from https://www.megabox.co.kr/benefit/membership)
15:34:10	16006/16006	---M--	200	added ('OK')	image/png	etag:%220-3e86-5f0291cb%22	https://www.megabox.co.kr/static/pc/images/benefit/img-card-real-01.png	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/static/pc/images/benefit/img-card-real-01.png	(from https://www.megabox.co.kr/benefit/membership)
